system:index,LST_C,Latitude,Longitude,NDVI,.geo
00000000000000001265_0,31.340000000000032,12.808224236740344,80.17728913775545,0.30272597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1791306840879,12.805484375123779]}"
000000000000000005eb_0,33.440000000000055,12.808314068268755,79.87806031661523,0.24317694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.87370348748726,12.805484375123779]}"
000000000000000006a2_0,32.56142857142862,12.808583562853991,79.93896609287853,0.39245284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.93658555737562,12.805484375123779]}"
00000000000000000a59_0,32.56142857142862,12.808583562853991,79.93950508204901,0.32470977,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.93658555737562,12.805484375123779]}"
00000000000000001306_0,32.05800000000005,12.808942888967639,79.80520694707315,0.12676056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80183826475769,12.805484375123779]}"
000000000000000004a9_0,30.870000000000005,12.80903272049605,80.04918937824,0.2763246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05336654431116,12.805484375123779]}"
000000000000000010e6_0,31.167142857142892,12.809302215081287,80.07245574409869,0.37411413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.07133284999355,12.805484375123779]}"
00000000000000000497_0,30.876666666666722,12.809571709666523,80.0416435298534,0.37107965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04438339146996,12.805484375123779]}"
00000000000000000bfb_0,30.978571428571456,12.809571709666523,80.06490989571209,0.29159692,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.06234969715236,12.805484375123779]}"
00000000000000000315_0,30.870000000000005,12.809661541194934,80.05404028077425,0.3719325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05336654431116,12.805484375123779]}"
0000000000000000019c_0,32.05800000000005,12.809751372723346,79.80538661012996,-0.06973995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80183826475769,12.805484375123779]}"
00000000000000001363_0,32.56200000000001,12.809751372723346,79.81410026838593,0.37510878,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81082141759889,12.805484375123779]}"
0000000000000000008c_0,30.45285714285717,12.809841204251759,80.21412006440434,0.31597877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,12.805484375123779]}"
